ID,Age,Salary,Experience,Department,Joining_Date,Experience_Level
1,54.0,0.14355684312026784,11.0,Marketing,2010-01-31,Mid
2,46.0,0.13722426685795658,7.0,Sales,2010-02-28,Mid
3,42.0,0.028848875994320913,19.0,Finance,2010-03-31,Senior
4,21.0,0.0462331282075297,2.0,Sales,2010-04-30,Entry
5,37.0,0.18362981142758616,15.0,Sales,2010-05-31,Senior
6,49.0,0.0935135261700366,29.0,Hr,2010-06-30,Senior
7,53.0,0.026354160236529714,22.0,Finance,2010-07-31,Senior
8,67.0,0.11074239079764918,27.0,Finance,2010-08-31,Senior
9,21.0,0.0947885558107507,39.0,Sales,2010-09-30,Senior
10,44.0,0.07064813651970124,4.0,Marketing,2010-10-31,Entry
11,34.0,0.17450664441573205,19.0,Hr,2010-11-30,Senior
12,29.0,0.16211395231516862,39.0,Sales,2010-12-31,Senior
13,39.0,0.1512432071146228,0.0,It,2011-01-31,Entry
14,34.0,0.16265035877503498,20.0,It,2011-02-28,Senior
15,27.0,0.0417396598076174,20.0,Hr,2011-03-31,Senior
16,18.0,0.0894713203474722,19.0,Marketing,2011-04-30,Senior
17,39.0,0.012918455575115007,5.0,Sales,2011-05-31,Mid
18,43.0,0.16884670482531666,21.0,Finance,2011-06-30,Senior
19,35.0,0.04957928279050561,17.0,Hr,2011-07-31,Senior
20,67.0,0.18810199385686888,7.0,Marketing,2011-08-31,Mid
21,31.0,0.1751579951169983,38.0,Finance,2011-09-30,Senior
22,42.0,0.15204143101323347,31.0,It,2011-10-31,Senior
23,46.0,0.1807285336307693,32.0,It,2011-11-30,Senior
24,42.0,0.07607393043319079,15.0,Finance,2011-12-31,Senior
25,53.0,0.1170664526717086,11.0,Hr,2012-01-31,Mid
26,52.0,0.11000376761680143,37.0,It,2012-02-29,Senior
27,69.0,0.1520776171633038,33.0,Sales,2012-03-31,Senior
28,29.0,0.03268673649884099,13.0,Finance,2012-04-30,Mid
29,24.0,0.020519675686951497,35.0,Finance,2012-05-31,Senior
30,46.0,0.055232836589732076,32.0,It,2012-06-30,Senior
31,28.0,0.16914683701119432,22.0,Hr,2012-07-31,Senior
32,50.0,0.17689280172331218,1.0,Sales,2012-08-31,Entry
33,23.0,0.14276713360990906,20.0,Hr,2012-09-30,Senior
34,64.0,0.038531864033734015,1.0,Marketing,2012-10-31,Entry
35,32.0,0.0008769819899402537,26.0,Marketing,2012-11-30,Senior
36,49.0,0.17664588446400864,8.0,It,2012-12-31,Mid
37,68.0,0.1062191220388554,20.0,It,2013-01-31,Senior
38,28.0,0.07343659867218115,10.0,It,2013-02-28,Mid
39,40.0,0.04284865887742048,20.0,Marketing,2013-03-31,Senior
40,43.0,0.17311879913068096,20.0,Hr,2013-04-30,Senior
41,51.0,0.14111959948317665,25.0,Hr,2013-05-31,Senior
42,42.0,0.10091040096382876,3.0,It,2013-06-30,Entry
43,51.0,0.00015751618265917589,17.0,Sales,2013-07-31,Senior
44,46.0,0.05792551187437872,5.0,Hr,2013-08-31,Mid
45,21.0,0.17175436841332248,34.0,Marketing,2013-09-30,Senior
46,34.0,0.08263852377536489,21.0,Finance,2013-10-31,Senior
47,52.0,0.001811436100580474,14.0,Finance,2013-11-30,Mid
48,30.0,0.1830721189970902,21.0,Finance,2013-12-31,Senior
49,58.0,0.1618861924294317,36.0,Sales,2014-01-31,Senior
50,56.0,0.0935135261700366,11.0,It,2014-02-28,Mid
51,32.0,0.06311077431975361,37.0,Marketing,2014-03-31,Senior
52,46.0,0.019142473387215225,17.0,Sales,2014-04-30,Senior
53,46.0,0.13616848271472753,34.0,Marketing,2014-05-31,Senior
54,28.0,0.07192529475747829,29.0,Marketing,2014-06-30,Senior
55,69.0,0.0935135261700366,23.0,Finance,2014-07-31,Senior
56,49.0,0.0873320802991956,29.0,Finance,2014-08-31,Senior
57,19.0,0.07418160764421779,13.0,It,2014-09-30,Mid
58,64.0,0.0021967121689765584,20.0,Sales,2014-10-31,Senior
59,31.0,0.13932519215909983,2.0,Sales,2014-11-30,Entry
